code,label,broad_domain_code,broad_domain_label,available_in_indicator_data,domain_role
GOODS_CHEM_FEED,Feedstock,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_CHEM_GHG,"Reduction of greenhouse gas [GHG] emissions, e.g. CO2",GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_CHEM_HCFC_22,"Improvements relating to fluorochloro hydrocarbon, e.g. chlorodifluoromethane [HCFC-22] production",GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_CHEM_PROC,Process efficiency in chemical industry,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_MET,Technologies related to metal processing,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_MET_GHG,Reduction of greenhouse gas (GHG) emissions,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_MIN,Technologies relating to the processing of minerals,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_MIN_CEM,Production of cement,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_MIN_CER,Production of ceramic materials or ceramic elements,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_MIN_GLASS,Glass production,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_MIN_LIME,Production or processing of lime,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_MIT,Enabling technologies with a potential contribution to GHG emissions mitigation,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_NEC,Not elsewhere classified,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_OIL,Technologies relating to oil refining and petrochemical industry,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_OIL_BIO,Bio-feedstock,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_OIL_ETH,Ethylene production,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_PROC,Process efficiency,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_PROD,Technologies in the production process for final industrial or consumer products,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
GOODS_SEC,Climate change mitigation technologies for sector-wide applications,GOODS,Climate change mitigation technologies in the production or processing of goods,False,metadata subdomain under available broad domain
ICT_CN,Energy efficiency in communication networks,ICT,Climate change mitigation in information and communication technologies (ICT),False,metadata subdomain under available broad domain
ICT_EE,Energy efficient computing,ICT,Climate change mitigation in information and communication technologies (ICT),False,metadata subdomain under available broad domain
ICT_NEC,Not elsewhere classified,ICT,Climate change mitigation in information and communication technologies (ICT),False,metadata subdomain under available broad domain
MAN_AIR,Air pollution abatement,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_AIR_MO,"Emissions abatement from mobile sources (e.g. NOx, CO, HC, PM emissions from motor vehicles)",MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_AIR_NC,Air pollution abatement - Not elsewhere classified,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_AIR_ST,"Emissions abatement from stationary sources (e.g. SOx, NOx, PM emissions from combustion plants)",MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_MO,Environmental monitoring,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_SO,Soil remediation,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WA,Waste management,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WAT,Water pollution abatement,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WAT_FE,Fertilizers from wastewater,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WAT_OIL,Oil spill and pollutant clean-up,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WAT_TR,Water and wastewater treatment,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WA_FE,Fertilizers from waste,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WA_IN,Incineration and energy recovery,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WA_MA,"Material recovery, recycling and re-use",MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WA_SO,Solid waste collection,MAN,Environmental management,False,metadata subdomain under available broad domain
MAN_WA_WA,Waste management – Not elsewhere classified,MAN,Environmental management,False,metadata subdomain under available broad domain
