feature,country_code,country_name,year_start,year_end,calendar_year_span,total_years,observed_years,missing_years,missing_share,first_observed_year,last_observed_year,leading_missing_years,internal_missing_years,trailing_missing_years,missingness_pattern
gdp_constant_2015_usd_lag1_3_mean,NCL,New Caledonia,2007,2021,15,8,0,8,1.0,,,8,0,0,all_missing
gdp_constant_2015_usd_lag1_3_mean,NER,Niger,2003,2022,20,10,10,0,0.0,2003.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,NIC,Nicaragua,2011,2011,1,1,1,0,0.0,2011.0,2011.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,NLD,Netherlands,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,NOR,Norway,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,NPL,Nepal,2000,2022,23,17,17,0,0.0,2000.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,NRU,Nauru,2019,2019,1,1,1,0,0.0,2019.0,2019.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,NZL,New Zealand,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,OMN,Oman,2003,2022,20,10,10,0,0.0,2003.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,PAK,Pakistan,1999,2023,25,22,22,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,PAN,Panama,2002,2023,22,21,21,0,0.0,2002.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,PER,Peru,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,PHL,Philippines,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,POL,Poland,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,PRI,Puerto Rico (US),2004,2023,20,17,17,0,0.0,2004.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,PRT,Portugal,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,PRY,Paraguay,2003,2021,19,7,7,0,0.0,2003.0,2021.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,PSE,West Bank and Gaza,2014,2021,8,5,5,0,0.0,2014.0,2021.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,QAT,Qatar,2005,2023,19,16,16,0,0.0,2005.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,ROU,Romania,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,RUS,Russian Federation,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,RWA,Rwanda,2003,2016,14,3,3,0,0.0,2003.0,2016.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SAU,Saudi Arabia,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SDN,Sudan,2004,2021,18,9,9,0,0.0,2004.0,2021.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SEN,Senegal,2001,2019,19,10,10,0,0.0,2001.0,2019.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SGP,Singapore,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SLB,Solomon Islands,2015,2016,2,2,2,0,0.0,2015.0,2016.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SLE,Sierra Leone,2001,2019,19,10,10,0,0.0,2001.0,2019.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SLV,El Salvador,1999,2023,25,11,11,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SMR,San Marino,2006,2022,17,6,6,0,0.0,2006.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SOM,"Somalia, Fed. Rep.",2012,2013,2,2,2,0,0.0,2012.0,2013.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SRB,Serbia,2003,2023,21,20,20,0,0.0,2003.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SUR,Suriname,2009,2009,1,1,1,0,0.0,2009.0,2009.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SVK,Slovak Republic,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SVN,Slovenia,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SWE,Sweden,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SWZ,Eswatini,2006,2019,14,6,6,0,0.0,2006.0,2019.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SYC,Seychelles,2004,2021,18,9,9,0,0.0,2004.0,2021.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,SYR,Syrian Arab Republic,1999,2022,24,8,8,0,0.0,1999.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,TCD,Chad,2009,2009,1,1,1,0,0.0,2009.0,2009.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,TGO,Togo,2007,2015,9,3,3,0,0.0,2007.0,2015.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,THA,Thailand,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,TJK,Tajikistan,2004,2018,15,3,3,0,0.0,2004.0,2018.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,TKM,Turkmenistan,2015,2022,8,4,4,0,0.0,2015.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,TON,Tonga,2008,2008,1,1,1,0,0.0,2008.0,2008.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,TUN,Tunisia,2001,2023,23,22,22,0,0.0,2001.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,TUR,Turkiye,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,TZA,Tanzania,1999,2018,20,7,7,0,0.0,1999.0,2018.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,UGA,Uganda,2007,2023,17,4,4,0,0.0,2007.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,UKR,Ukraine,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,URY,Uruguay,1999,2022,24,21,21,0,0.0,1999.0,2022.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,USA,United States,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,UZB,Uzbekistan,1999,2023,25,21,21,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,VEN,"Venezuela, RB",1999,2023,25,24,24,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,VIR,Virgin Islands (U.S.),2017,2017,1,1,1,0,0.0,2017.0,2017.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,VNM,Viet Nam,1999,2023,25,24,24,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,VUT,Vanuatu,2000,2002,3,2,2,0,0.0,2000.0,2002.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,WSM,Samoa,2008,2008,1,1,1,0,0.0,2008.0,2008.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,YEM,"Yemen, Rep.",2003,2019,17,8,8,0,0.0,2003.0,2019.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,ZAF,South Africa,1999,2023,25,25,25,0,0.0,1999.0,2023.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,ZMB,Zambia,2009,2018,10,4,4,0,0.0,2009.0,2018.0,0,0,0,complete
gdp_constant_2015_usd_lag1_3_mean,ZWE,Zimbabwe,1999,2023,25,16,16,0,0.0,1999.0,2023.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,ABW,Aruba,2007,2007,1,1,1,0,0.0,2007.0,2007.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,AFG,Afghanistan,2013,2019,7,3,3,0,0.0,2013.0,2019.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,AGO,Angola,2013,2013,1,1,1,0,0.0,2013.0,2013.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,ALB,Albania,2001,2023,23,14,13,1,0.07142857142857142,2001.0,2022.0,0,0,1,early_end
renewable_energy_share_lag1_3_mean,ARE,United Arab Emirates,2000,2023,24,24,23,1,0.041666666666666664,2000.0,2022.0,0,0,1,early_end
renewable_energy_share_lag1_3_mean,ARG,Argentina,1999,2023,25,25,24,1,0.04,1999.0,2022.0,0,0,1,early_end
renewable_energy_share_lag1_3_mean,ARM,Armenia,1999,2023,25,22,21,1,0.045454545454545456,1999.0,2022.0,0,0,1,early_end
renewable_energy_share_lag1_3_mean,ATG,Antigua and Barbuda,2017,2023,7,5,5,0,0.0,2017.0,2023.0,0,0,0,complete
renewable_energy_share_lag1_3_mean,AUS,Australia,1999,2023,25,25,24,1,0.04,1999.0,2022.0,0,0,1,early_end
renewable_energy_share_lag1_3_mean,AUT,Austria,1999,2023,25,25,24,1,0.04,1999.0,2022.0,0,0,1,early_end
